Term	Overlap	Adjusted P-value	Odds Ratio	Genes
Carbohydrate digestion and absorption	19/44	1.16E-26	107.5725714	MGAM;ATP1A4;PIK3CD;ATP1A3;ATP1B4;ATP1A2;PIK3R2;ATP1B3;PIK3CB;PIK3R1;ATP1A1;ATP1B2;SLC2A5;ATP1B1;HK2;HK1;HK3;PIK3CA;HKDC1
Cholesterol metabolism	16/50	5.32E-20	65.18140683	ABCA1;ABCG8;ABCG5;LRP1;APOA1;LCAT;LPL;APOC3;LRP2;CYP7A1;LIPC;APOC2;APOC1;CD36;APOE;APOB
Phosphatidylinositol signaling system	19/99	2.04E-19	33.523125	INPPL1;PTEN;PIK3CD;OCRL;PIK3R2;PIK3R1;SYNJ2;PIK3CB;PIK3C2A;INPP5B;SYNJ1;PIK3CA;INPP5D;INPP5E;INPP5J;PI4KA;PLCG1;PI4KB;PI4K2A
Inositol phosphate metabolism	17/74	7.60E-19	41.55275513	INPPL1;PTEN;PIK3CD;OCRL;PIK3CB;SYNJ2;PIK3C2A;INPP5B;PIK3CA;SYNJ1;INPP5D;INPP5E;INPP5J;PI4KA;PLCG1;PI4KB;PI4K2A
Aldosterone-regulated sodium reabsorption	13/37	4.31E-17	73.52197489	ATP1A4;PIK3CD;ATP1A3;ATP1B4;ATP1A2;PIK3R2;ATP1B3;PIK3CB;PIK3R1;ATP1A1;ATP1B2;ATP1B1;PIK3CA
Type II diabetes mellitus	12/46	4.98E-14	47.55582233	HK3;PKM;PKLR;PIK3CA;HKDC1;PIK3CD;PIK3R2;PIK3CB;PIK3R1;HK2;GCK;HK1
Thyroid hormone signaling pathway	15/116	7.49E-13	20.35891089	ATP1A4;ATP1B4;PIK3CD;ATP1A3;ATP1B3;PIK3R2;ATP1A2;ATP1B2;PIK3R1;PIK3CB;ATP1A1;ATP1B1;SLC9A1;PIK3CA;PLCG1
Proximal tubule bicarbonate reclamation	9/23	2.17E-12	84.97285714	ATP1A4;ATP1A3;ATP1B4;ATP1A2;ATP1B3;SLC25A10;ATP1A1;ATP1B2;ATP1B1
cAMP signaling pathway	18/212	2.32E-12	12.92849309	ATP1A4;ATP1B4;PIK3CD;ATP1A3;ATP1B3;PIK3R2;ATP1A2;ATP1B2;PIK3R1;PIK3CB;ATP1A1;ATP1B1;PLD1;PLD2;SLC9A1;PIK3CA;ACOX1;PDE4B
Central carbon metabolism in cancer	12/65	2.72E-12	30.47824413	HK3;PKM;PIK3CA;HKDC1;PTEN;PIK3CD;PIK3R2;PIK3CB;PIK3R1;HK2;GCK;HK1
Fc gamma R-mediated phagocytosis	13/91	7.30E-12	22.56050228	SPHK1;INPPL1;PIK3CD;PLA2G4A;PIK3R2;PIK3CB;PIK3R1;PLD1;PLD2;PIK3CA;BIN1;INPP5D;PLCG1
Bile secretion	12/72	8.24E-12	26.91292517	ABCG8;ABCG5;ATP1A4;ATP1B4;ATP1A3;ATP1B3;ATP1A2;ATP1B2;ATP1A1;ATP1B1;CYP7A1;SLC9A1
PPAR signaling pathway	12/74	1.07E-11	26.04213298	CPT1A;ACOX1;EHHADH;ME1;APOA1;LPL;NR1H3;APOC3;CD36;CPT1C;SLC27A2;CYP7A1
Mineral absorption	10/51	1.21E-10	32.4111966	ATP1A4;ATP1B4;ATP1A3;ATP1B3;ATP1A2;ATP1B2;ATP1A1;ATP1B1;SLC8A1;HMOX2
Phospholipase D signaling pathway	14/148	2.05E-10	14.19958827	SPHK1;PIK3CD;PLA2G4A;PIK3R2;PIK3R1;PIK3CB;PLD1;F2;AGPAT2;PLD2;PIK3CA;PTK2B;PLCG1;MS4A2
HIF-1 signaling pathway	12/100	3.49E-10	18.32374768	HK3;TFRC;PIK3CA;HKDC1;PIK3CD;PIK3R2;PIK3R1;PLCG1;PIK3CB;ALDOA;HK2;HK1
Cardiac muscle contraction	11/78	3.80E-10	21.93565954	ATP1A4;ATP1B4;ATP1A3;ATP1B3;ATP1A2;ATP1B2;ATP1A1;CYC1;ATP1B1;SLC8A1;SLC9A1
Neomycin, kanamycin and gentamicin biosynthesis	5/5	3.84E-10	Infinity	HK3;HKDC1;HK2;GCK;HK1
Insulin signaling pathway	13/137	8.62E-10	14.15825232	PKLR;INPPL1;PIK3CD;PIK3R2;PIK3R1;PIK3CB;HK2;GCK;HK1;HK3;PIK3CA;FASN;HKDC1
Endocrine and other factor-regulated calcium reabsorption	9/48	1.51E-09	30.46461538	ATP1A4;ATP1A3;ATP1B4;ATP1A2;ATP1B3;ATP1A1;ATP1B2;ATP1B1;SLC8A1
Protein digestion and absorption	11/90	1.51E-09	18.59237085	SLC8A3;ATP1A4;ATP1B4;ATP1A3;ATP1B3;ATP1A2;ATP1B2;ATP1A1;ATP1B1;SLC8A1;SLC8A2
Glycolysis / Gluconeogenesis	10/68	1.56E-09	22.89169174	GPI;HK3;PKM;PKLR;HKDC1;ALDH3B1;ALDOA;HK2;GCK;HK1
Human T-cell leukemia virus 1 infection	15/219	2.46E-09	10.02706291	HLA-DRB5;SPI1;PTEN;PIK3CD;PIK3R2;PIK3R1;PIK3CB;ANAPC11;RELB;PIK3CA;HLA-DRA;SLC25A4;HLA-DQA1;HLA-DRB1;HLA-DQB1
Starch and sucrose metabolism	8/36	3.24E-09	37.48912015	GPI;HK3;MGAM;GAA;HKDC1;HK2;GCK;HK1
