Gene_Entrez_ID	Gene_Name	Chromosome	Ensembl_Gene_ID	Enzyme_IDs	RefSeq_IDs
19	ABCA1	9	ENSG00000165029		NM_005502
10347	ABCA7	19	ENSG00000064687		NM_019112
64240	ABCG5	2	ENSG00000138075		NM_022436
64241	ABCG8	2	ENSG00000143921		NM_022437
50	ACO2	22	ENSG00000100412	4.2.1.3	NM_001098
51	ACOX1	17	ENSG00000161533	1.3.3.6	NM_001185039
10555	AGPAT2	9	ENSG00000169692	2.3.1.51	NM_006412
213	ALB	4	ENSG00000163631		NM_000477
221	ALDH3B1	11	ENSG00000006534	1.2.1.5	NM_000694
226	ALDOA	16	ENSG00000149925	4.1.2.13	NM_000034
51529	ANAPC11	17	ENSG00000141552		NM_016476
335	APOA1	11	ENSG00000118137		NM_000039
338	APOB	2	ENSG00000084674		NM_000384
341	APOC1	19	ENSG00000130208		NM_001321065
344	APOC2	19	ENSG00000234906		NM_000483
345	APOC3	11	ENSG00000110245		NM_000040
346	APOC4	19	ENSG00000267467		NM_001646
348	APOE	19	ENSG00000130203		NM_000041
353	APRT	16	ENSG00000198931	2.4.2.7	NM_000485
9870	AREL1	14	ENSG00000119682		NM_014821
383	ARG1	6	ENSG00000118520	3.5.3.1	NM_000045
476	ATP1A1	1	ENSG00000163399	3.6.3.9	NM_001160233
477	ATP1A2	1	ENSG00000018625	3.6.3.9	NM_000702
478	ATP1A3	19	ENSG00000105409	3.6.3.9	NM_152296
480	ATP1A4	1	ENSG00000132681		NM_144699
481	ATP1B1	1	ENSG00000143153		NM_001677
482	ATP1B2	17	ENSG00000129244	3.6.3.9	NM_001678
483	ATP1B3	3	ENSG00000069849		NM_001679
23439	ATP1B4	X	ENSG00000101892		NM_001142447
496	ATP4B	13	ENSG00000186009	3.6.3.10	NM_000705
527	ATP6V0C	16	ENSG00000185883	3.6.3.14	NM_001694
51382	ATP6V1D	14	ENSG00000100554		NM_015994
10396	ATP8A1	4	ENSG00000124406		NM_006095
113451	AZIN2	1	ENSG00000142920	4.1.1.19	NM_001293562
274	BIN1	2	ENSG00000136717		NM_139343
847	CAT	11	ENSG00000121691	1.11.1.6	NM_001752
23607	CD2AP	6	ENSG00000198087		NM_012120
945	CD33	19	ENSG00000105383		NM_001772
948	CD36	7	ENSG00000135218		NM_001001547
10658	CELF1	11	ENSG00000149187		NM_006560
1191	CLU	8	ENSG00000120885		NM_001831
1356	CP	3	ENSG00000047457	1.16.3.1	NM_000096
1374	CPT1A	11	ENSG00000110090	2.3.1.21	NM_001876
126129	CPT1C	19	ENSG00000169169		NM_152359
1431	CS	12	ENSG00000062485	2.3.3.1	NM_004077
5476	CTSA	20	ENSG00000064601	3.4.16.5	NM_000308
1537	CYC1	8	ENSG00000179091		NM_001916
1581	CYP7A1	8	ENSG00000167910	1.14.14.23	NM_000780
84418	CYSTM1	5	ENSG00000120306		NM_032412
8560	DEGS1	1	ENSG00000143753	1.14.19.17	NM_001321541
8694	DGAT1	8	ENSG00000185000	2.3.1.20	NM_012079
1789	DNMT3B	20	ENSG00000088305		NM_006892
1809	DPYSL3	5	ENSG00000113657		NM_001387
79631	EFL1	15	ENSG00000140598		NM_024580
1962	EHHADH	3	ENSG00000113790	4.2.1.17, 1.1.1.35, 5.3.3.8	NM_001166415
2147	F2	11	ENSG00000180210	3.4.21.5	NM_000506
2194	FASN	17	ENSG00000169710	2.3.1.85	NM_004104
2243	FGA	4	ENSG00000171560		NM_000508
2348	FOLR1	11	ENSG00000110195		NM_016725
2517	FUCA1	1	ENSG00000179163	3.2.1.51	NM_000147
2519	FUCA2	6	ENSG00000001036	3.2.1.51	NM_032020
2548	GAA	17	ENSG00000171298	3.2.1.20	NM_000152
2571	GAD1	2	ENSG00000128683	4.1.1.15	NM_000817
2645	GCK	7	ENSG00000106633	2.7.1.2, 2.7.1.1	NM_000162
2821	GPI	19	ENSG00000105220	5.3.1.9	NM_000175
3098	HK1	10	ENSG00000156515	2.7.1.1	NM_000188
3099	HK2	2	ENSG00000159399	2.7.1.1	NM_000189
3101	HK3	5	ENSG00000160883	2.7.1.1	NM_002115
80201	HKDC1	10	ENSG00000156510		NM_025130
3117	HLA-DQA1	6	ENSG00000196735		NM_002122
3119	HLA-DQB1	6	ENSG00000179344		NM_002123
3122	HLA-DRA	6	ENSG00000204287		NM_019111
3123	HLA-DRB1	6	ENSG00000196126		NM_002124
3127	HLA-DRB5	6	ENSG00000198502		NM_002125
3163	HMOX2	16	ENSG00000103415	1.14.14.18	NM_001127204
3295	HSD17B4	5	ENSG00000133835	4.2.1.107, 1.1.1.35	NM_000414
3421	IDH3G	X	ENSG00000067829	1.1.1.41	NM_004135
3633	INPP5B	1	ENSG00000204084	3.1.3.56	NM_005540
3635	INPP5D	2	ENSG00000168918	3.1.3.86	NM_001017915
56623	INPP5E	9	ENSG00000148384	3.1.3.36	NM_019892
27124	INPP5J	22	ENSG00000185133	3.1.3.56	NM_001002837
3636	INPPL1	11	ENSG00000165458	3.1.3.86	NM_001567
58508	KMT2C	7	ENSG00000055609		NM_170606
3931	LCAT	16	ENSG00000213398	2.3.1.43	NM_000229
3990	LIPC	15	ENSG00000166035	3.1.1.3	NM_000236
4023	LPL	8	ENSG00000175445	3.1.1.34	NM_000237
4035	LRP1	12	ENSG00000123384		NM_002332
4036	LRP2	2	ENSG00000081479		NM_004525
57787	MARK4	19	ENSG00000007047	2.7.11.1	NM_031417
4199	ME1	6	ENSG00000065833	1.1.1.40	NM_002395
8972	MGAM	7	ENSG00000257335	3.2.1.20, 3.2.1.3	NM_004668
11320	MGAT4A	2	ENSG00000071073	2.4.1.145	NM_012214
375056	MIA3	1	ENSG00000154305		NM_198551
50488	MINK1	17	ENSG00000141503		NM_015716
2206	MS4A2	11	ENSG00000149534		NM_000139
10062	NR1H3	11	ENSG00000025434		NM_001130101
83594	NUDT12	5	ENSG00000112874		NM_031438
4952	OCRL	X	ENSG00000122126	3.1.3.36	NM_000276
4953	ODC1	2	ENSG00000115758	4.1.1.17	NM_001287188
5034	P4HB	17	ENSG00000185624	1.14.11.2, 5.3.4.1	NM_000918
5048	PAFAH1B1	17	ENSG00000007168		NM_000430
5142	PDE4B	1	ENSG00000184588		NM_002600
5207	PFKFB1	X	ENSG00000158571	2.7.1.105, 3.1.3.46	NM_001271804
55361	PI4K2A	10	ENSG00000155252		NM_018425
