Metabolite_ID	Metabolites	Names	Formulas	HMDB_ID	KEGG_ID	PubChem_ID	CHEBI_ID
M23	h2o2[c]	Hydrogen peroxide	H2O2	HMDB03125	C00027	784	16240
M24	nh4[c]	Ammonium	H4N	HMDB00051	C00014	223	28938
M39	adp[c]	ADP	C10H12N5O10P2	HMDB01341	C00008	6022	16761
M41	pi[c]	hydrogenphosphate	HO4P	HMDB00973	C00009	1004	43474
M44	nadh[x]	Nicotinamide adenine dinucleotide - reduced	C21H27N7O14P2	HMDB01487	C00004	439153	16908
M57	25hvitd3[c]	calcidiol	C27H44O2	HMDB03550	C01561		17933
M60	pyr[c]	pyruvate	C3H3O3	HMDB00243	C00022	1060	32816
M67	akg[m]	2-Oxoglutarate	C5H4O5	HMDB00208	C00026	51	30915
M69	akg[c]	2-Oxoglutarate	C5H4O5	HMDB00208	C00026	51	30915
M75	nadh[c]	Nicotinamide adenine dinucleotide - reduced	C21H27N7O14P2	HMDB01487	C00004	439153	16908
M87	co2[m]	carbon dioxide	CO2	HMDB01967	C00011	280	16526
M89	nadh[m]	Nicotinamide adenine dinucleotide - reduced	C21H27N7O14P2	HMDB01487	C00004	439153	16908
M94	34dhpha[c]	(3,4-dihydroxyphenyl)acetate	C8H7O4	HMDB01336	C01161		41941
M97	homoval[c]	Homovanillate	C9H9O4	HMDB00118	C05582	1738	545959
M101	34dhoxmand[c]	3,4-Dihydroxymandelate	C8H7O5	HMDB01866	C05580	85782	27637
M105	co2[c]	carbon dioxide	CO2	HMDB01967	C00011	280	16526
M120	b2coa[m]	crotonoyl-CoA(4-)	C25H36N7O17P3S	HMDB02009	C00877	5280381	57332
M135	3mlda[c]	3-Methylimidazoleacetic acid	C6H7N2O2	HMDB02820	C05828	75810	1606
M142	3mox4hoxm[c]	3-Methoxy-4-hydroxymandelate	C9H9O5	HMDB00291	C05584	1245	20106
M152	hyptaur[c]	Hypotaurine	C2H7NO2S	HMDB00965	C00519	107812	16668
M155	so3[c]	Sulfite	O3S	HMDB00240	C00094	1100	48854
M161	4abut[c]	4-Aminobutanoate	C4H9NO2	HMDB00112	C00334	119	16865
M172	4hphac[c]	4-hydroxyphenylacetate	C8H7O3	HMDB00020	C00642	127	18101
M216	5mthf[c]	5-Methyltetrahydrofolate	C20H24N7O6	HMDB01396	C00440	439234	15641
M229	7dhchsterol[r]	cholesta-5,7-dien-3beta-ol	C27H44O	HMDB00032	C01164		17759
M238	man[c]	D-Mannose	C6H12O6	HMDB00169	C00159	18950	4208
M251	udp[g]	UDP	C9H11N2O12P2	HMDB00295	C00015	6031	17659
M259	amp[c]	AMP	C10H12N5O7P	HMDB00045	C00020	6083	16027
M260	ppi[c]	Diphosphate	HO7P2	HMDB00250	C00013	1023	29888
M289	2maacoa[m]	2-methylacetoacetyl-CoA(4-)	C26H38N7O18P3S	HMDB01157	C03344		15476
M293	accoa[x]	Acetyl-CoA	C23H34N7O17P3S	HMDB01206	C00024	444493	15351
M298	3odcoa[x]	3-Oxodecanoyl-CoA	C31H48N7O18P3S	HMDB03939	C05265	440606	28528
M299	occoa[x]	Octanoyl-CoA (n-C8:0CoA)	C29H46N7O17P3S	HMDB01070	C01944	380	57386
M300	3oddcoa[x]	3-Oxododecanoyl-CoA	C33H52N7O18P3S	HMDB03937	C05263	440604	27868
M301	dcacoa[x]	Decanoyl-CoA (n-C10:0CoA)	C31H50N7O17P3S	HMDB06404	C05274	440615	61430
M302	3otdcoa[x]	3-Oxotetradecanoyl-CoA	C35H56N7O18P3S	HMDB03935	C05261	11966197	28726
M303	ddcacoa[x]	Dodecanoyl-CoA (n-C12:0CoA)	C33H54N7O17P3S	HMDB03571	C01832	165436	15521
M304	3ohdcoa[x]	3-oxopalmitoyl-CoA(4-)	C37H60N7O18P3S	HMDB06402	C05259	169621	15491
M305	tdcoa[x]	Tetradecanoyl-CoA (n-C14:0CoA)	C35H58N7O17P3S	HMDB01521	C02593	25244582	57385
