Reaction_ID	Reaction_Names	Confidence_Score	References	Notes
R32	25-hydroxyvitamin D3 transport in cytoplasm	2		"is found in blood --&gt; subsequently has to be transported but how? based on Vitamins, G.F.M. Ball,2004, Blackwell publishing, 1st ed (book) pg.193 IT"
R51	"3,4-Dihydroxyphenylacetaldehyde:NAD+ oxidoreductase"	4	"PMID:11306106,PMID:2071588"	SAB
R52	"3,4-Dihydroxyphenylacetaldehyde:NADP+ oxidoreductase"	4	"PMID:11306106,PMID:2071588"	SAB
R53	"3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase"	4	"PMID:10424772,PMID:12616643"	SAB
R54	"3,4-Dihydroxymandelaldehyde:NADP+ oxidoreductase"	4	"PMID:10424772,PMID:12616643"	SAB
R73	3-Methoxy-4-hydroxyphenylacetaldehyde:NAD+ oxidoreductase	1	"PMID:6422947,PMID:9732974"	SAB
R77	3-Methoxy-4-hydroxyphenylglycolaldehyde:NAD+ oxidoreductase	2		SAB
R78	3-Methoxy-4-hydroxyphenylglycolaldehyde:NADP+ oxidoreductase	2		SAB
R82	3-Sulfino-L-alanine carboxy-lyase	4		SAB
R96	4-Hydroxyphenylacetaldehyde:NADP+ oxidoreductase	2	PMID:3753983	SAB
R124	5-Methyltetrahydrofolate transport via receptor binding and protolysis	4	PMID:15094208	IT
R213	Acetylcholine secretion via secretory vesicle (ATP driven)	4	"PMID:12827358,PMID:15383652"	SAB This reaction represents the ATP driven secretion of ach from the cell.  It leaves out the vesicle because that is not a compartment.  ATP:H ratio is assumed as 1:3 for vacuolar ATPase and substrate:h ratio is 1:2.  This gives a 3:2 ratio for substrate:ATP
R236	"acyl-CoA oxidase (hexadecanoyl-CoA), peroxisomal"	4	"PMID:7876265,PMID:8159712"	NCD
R237	Acetyl-CoA ACP transacylase	4	"PMID:11756679,PMID:15507492"	tv rxn is now charge balanced; removed h - NCD
R240	Aconitate hydratase	0	"PMID:10419470,PMID:17244191,PMID:17244192"	IF. Biochemical
R280	adenine phosphoribosyltransferase	4	"PMID:14674717,PMID:15196008"	
R283	carnitine O-palmitoyltransferase	4		NJ
R320	1-acylglycerol-3-phosphate O-acyltransferase 1	4		FULLR corresponds to acyl/R groups in texts. NJ
R337	alpha-ketoglutarate/malate transporter	4	PMID:14598172	TV
R371	"aldehyde dehydrogenase (acetaldehyde, NAD)"	0	PMID:12616643	"Only acetaldehyde considered for now. See also 1.2.1.4. Wide specificity, including oxidation of D-glucuronolactone to D-glucarate. Formerly EC 1.1.1.70; r0176"
R373	"aldehyde dehydrogenase (acetaldehyde, NADP)"	0	PMID:12616643	See also ALDH1 (1.2.1.3); r0177
R420	carnitine transferase	4		NJ
R427	arginine decarboxylase (m)	4	PMID:14752610	SAB m
R429	arginase	4	PMID:1008818	
R497	aspartate 1-decarboxylase	1		The E. coli enzyme contains a pyruvoyl group.
R508	"V-type ATPase, H+ transporting, lysosomal"	4	"PMID:10224039,PMID:12628346"	RS/DK
R512	"ADP/ATP transporter, mitochondrial"	4	PMID:14598172	NCD
R594	production of Palmitoylcarnitine	4	PMID:1988962	
