from	to
rs11039149	10062
rs11039297	10658
rs11607981	6688
rs1303621	2206
rs1441586	2206
rs1996108	8301
rs2053979	5702
rs2293579	5702
rs2293580	5702
rs2847668	2206
rs2855017	2206
rs3740688	6688
rs4752987	6688
rs488134	8301
rs554311	2206
rs556917	2206
rs558788	2206
rs56030824	6688
rs561646	8301
rs563803	2206
rs564912	2206
rs581133	2206
rs616555	8301
rs626542	8301
rs634719	8301
rs673751	8301
rs677909	8301
rs7105851	6688
rs71475921	10658
rs7928163	6688
rs7940536	6688
rs10498633	123041
rs12590654	123041
rs12878457	123041
rs17101650	9870
rs28764192	9870
rs61229856	9870
rs77093843	79631
rs72835045	50488
rs8067447	50488
rs8070572	50488
rs1038026	10452
rs10408847	57787
rs10410833	79090
rs10410833	57787
rs10412857	57787
rs10413253	57787
rs10420562	57787
rs10424245	57787
rs1076986	5971
rs113728460	57787
rs115881343	10452
rs146871722	57787
rs148613044	57787
rs157590	10452
rs2288912	346
rs2627641	57787
rs28659974	10347
rs346761	57787
rs346763	57787
rs346773	57787
rs34813869	945
rs35194062	5971
rs35194383	5971
rs35577563	5971
rs4147920	10347
rs439401	348
rs4803774	344
rs4803774	346
rs483082	341
rs484195	341
rs5117	341
rs61463967	57787
rs7249082	57787
rs73566293	57787
rs769446	348
rs769450	348
rs78959900	341
rs8110977	57787
rs9304646	344
rs9304646	346
rs10207708	274
rs1060743	274
rs11678744	274
rs11680911	274
rs11690153	274
rs12994284	274
rs13025717	274
rs13400939	274
rs1530047	274
rs34745987	274
rs35114168	274
rs4663105	274
rs55828408	274
rs56193035	274
rs6431219	274
rs6720234	274
rs6743470	274
rs7575209	274
rs10060071	84418
rs113128948	3127
rs113486815	3127
rs139940358	3117
rs17843620	3117
rs28383362	3117
rs28383363	3117
rs28752494	3123
rs28895050	3122
rs28895055	3122
rs28895056	3122
rs34117221	3123
rs34855541	3123
rs35380574	3123
rs41268938	3117
rs41268942	3117
rs4711890	23607
rs4715019	23607
rs72508435	3127
rs72850968	3122
rs73403125	3127
rs75459649	3127
rs79973795	3127
rs9268730	3122
rs9269489	3123
rs9269817	3123
rs9270507	3123
rs9270522	3123
rs9270539	3123
rs9270579	3123
rs9270677	3123
rs9270768	3123
rs9270819	3123
rs9270847	3123
rs9270887	3123
rs9270897	3123
rs9270898	3123
rs9271013	3123
rs9271021	3123
rs9271023	3123
rs9271223	3117
rs9271461	3117
rs9272666	3117
rs9273491	3119
rs9349415	23607
rs9349416	23607
rs9367284	23607
rs9395288	23607
rs9473123	23607
rs6464547	7791
rs11787077	1191
rs1532277	1191
rs1532278	1191
rs17057043	2185
rs28834970	2185
rs4236673	1191
rs9331896	1191
2519	338
2519	335
2519	348
2519	1356
2519	11320
2519	213
2519	2243
2519	5034
2519	375056
2519	9588
2519	383
2519	5476
2519	2517
2519	5265
2519	R1787
2519	R1789
79090	2348
79090	5265
6515	51382
6515	6556
6515	84418
6515	945
6515	121260
6515	11001
6515	2548
6515	8560
6515	527
6515	5337
6515	10555
6515	6518
6515	10396
6515	948
6515	8972
6515	221
6515	3163
6515	8694
6515	R908
6515	R1937
6515	R2052
6515	R2490
