SNP	Chromosome	Position	Start_Position	End_Position	Gene_Name	Strand	Gene_Entrez_ID
rs11039149	11	47276675	47269851	47290396	NR1H3	within	10062
rs11039297	11	47581443	47487496	47587121	CELF1	within	10658
rs11607981	11	47401060	47376411	47400127	SPI1	downstream	6688
rs1303621	11	59890674	59855734	59863444	MS4A2	downstream	2206
rs1441586	11	59856028	59855734	59863444	MS4A2	within	2206
rs1996108	11	85728030	85668727	85780924	PICALM	within	8301
rs2053979	11	47439444	47440320	47447993	PSMC3	upstream	5702
rs2293579	11	47440758	47440320	47447993	PSMC3	within	5702
rs2293580	11	47440283	47440320	47447993	PSMC3	upstream	5702
rs2847668	11	59862261	59855734	59863444	MS4A2	within	2206
rs2855017	11	59866309	59855734	59863444	MS4A2	downstream	2206
rs3740688	11	47380340	47376411	47400127	SPI1	within	6688
rs4752987	11	47390692	47376411	47400127	SPI1	within	6688
rs488134	11	85701622	85668727	85780924	PICALM	within	8301
rs554311	11	59852569	59855734	59863444	MS4A2	upstream	2206
rs556917	11	59858712	59855734	59863444	MS4A2	within	2206
rs558788	11	59852078	59855734	59863444	MS4A2	upstream	2206
rs56030824	11	47397353	47376411	47400127	SPI1	within	6688
rs561646	11	85746037	85668727	85780924	PICALM	within	8301
rs563803	11	59878001	59855734	59863444	MS4A2	downstream	2206
rs564912	11	59885888	59855734	59863444	MS4A2	downstream	2206
rs581133	11	59882306	59855734	59863444	MS4A2	downstream	2206
rs616555	11	85710180	85668727	85780924	PICALM	within	8301
rs626542	11	85682120	85668727	85780924	PICALM	within	8301
rs634719	11	85771065	85668727	85780924	PICALM	within	8301
rs673751	11	85670945	85668727	85780924	PICALM	within	8301
rs677909	11	85757589	85668727	85780924	PICALM	within	8301
rs7105851	11	47383275	47376411	47400127	SPI1	within	6688
rs71475921	11	47573342	47487496	47587121	CELF1	within	10658
rs7928163	11	47391879	47376411	47400127	SPI1	within	6688
rs7940536	11	47395240	47376411	47400127	SPI1	within	6688
rs10498633	14	92926952	92788925	92962596	SLC24A4	within	123041
rs12590654	14	92938855	92788925	92962596	SLC24A4	within	123041
rs12878457	14	92935753	92788925	92962596	SLC24A4	within	123041
rs17101650	14	75103298	75120140	75179818	AREL1	upstream	9870
rs28764192	14	75103698	75120140	75179818	AREL1	upstream	9870
rs61229856	14	75102988	75120140	75179818	AREL1	upstream	9870
rs77093843	15	82455478	82422571	82555104	EFTUD1	within	79631
rs72835045	17	4780795	4736683	4801356	MINK1	within	50488
rs8067447	17	4761912	4736683	4801356	MINK1	within	50488
rs8070572	17	4766937	4736683	4801356	MINK1	within	50488
rs1038026	19	45405062	45393826	45406946	TOMM40	within	10452
rs10408847	19	45634682	45582546	45808541	MARK4	within	57787
rs10408847	19	45634682	45594654	45651335	PPP1R37	within	284352
rs10410833	19	45668327	45582546	45808541	MARK4	within	57787
